Inference for Stan model: anon_model_e161d20abf79c3fcd9efe2c31d58fdf1.
4 chains, each with iter=1000; warmup=500; thin=1; 
post-warmup draws per chain=500, total post-warmup draws=2000.

             mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu[0]       18.41    0.01   0.62  17.18  18.01  18.41  18.82  19.61   2000    1.0
mu[1]       18.52    0.01   0.48  17.54  18.22  18.52  18.83   19.5   2000    1.0
mu[2]        18.5    0.01   0.48  17.54   18.2  18.49   18.8  19.45   2000    1.0
mu[3]       17.56    0.01   0.46  16.67  17.25  17.57  17.87  18.44   2000    1.0
mu[4]       17.18  9.7e-3   0.44  16.28  16.91  17.18  17.47  18.03   2000    1.0
mu[5]       16.78  9.9e-3   0.44  15.91  16.49  16.78  17.08  17.69   2000    1.0
mu[6]       16.18    0.01   0.46  15.31  15.88  16.18  16.47  17.08   2000    1.0
mu[7]       16.26  9.9e-3   0.44   15.4  15.96  16.26  16.54  17.21   2000    1.0
mu[8]       15.78 10.0e-3   0.45  14.88  15.49  15.76  16.07  16.67   2000    1.0
mu[9]       15.14    0.01   0.47  14.21  14.82  15.14  15.44  16.06   1696    1.0
mu[10]      15.05  9.8e-3   0.44  14.23  14.76  15.03  15.33  15.98   2000    1.0
mu[11]      14.92    0.01   0.44  14.09  14.64  14.92   15.2  15.83   1016    1.0
mu[12]       14.8    0.01   0.47  13.89  14.49   14.8  15.08  15.78   2000    1.0
mu[13]      14.84    0.01   0.45  13.96  14.55  14.84  15.11  15.75   2000    1.0
mu[14]      15.15  9.5e-3   0.42  14.29  14.87  15.16  15.44  15.98   2000    1.0
mu[15]      15.48  9.9e-3   0.44  14.55  15.19  15.48  15.76  16.34   2000    1.0
mu[16]      15.33  9.4e-3   0.42  14.52  15.05  15.32  15.61  16.21   2000    1.0
mu[17]      15.31  9.5e-3   0.42  14.48  15.04  15.31  15.61  16.14   2000    1.0
mu[18]      14.95    0.01   0.48  13.98  14.65  14.96  15.25  15.89   2000    1.0
mu[19]      15.76  9.8e-3   0.44  14.84  15.47  15.77  16.05   16.6   2000    1.0
mu[20]      16.29  9.8e-3   0.44  15.44   16.0  16.27  16.56   17.2   2000    1.0
mu[21]      16.27  9.4e-3   0.42   15.4  15.99  16.27  16.55   17.1   2000    1.0
mu[22]      16.48  9.4e-3   0.42  15.66   16.2  16.47  16.75  17.29   2000    1.0
mu[23]      16.57  9.7e-3   0.43  15.73  16.28  16.58  16.85  17.44   2000    1.0
mu[24]      17.09 10.0e-3   0.45  16.25  16.79  17.09  17.38  17.99   2000    1.0
mu[25]      17.41    0.01   0.48  16.49   17.1  17.42  17.72  18.34   2000    1.0
mu[26]      18.41    0.01   0.45  17.54  18.12   18.4  18.69  19.35   2000    1.0
mu[27]      18.51  9.8e-3   0.44  17.63  18.22  18.52  18.81  19.37   2000    1.0
mu[28]       18.8    0.01   0.45  17.91  18.52  18.82  19.08  19.68   2000    1.0
mu[29]      19.28  9.5e-3   0.43  18.44  19.01  19.27  19.56  20.15   2000    1.0
mu[30]      19.75  9.5e-3   0.42  18.93  19.47  19.74  20.03  20.58   2000    1.0
mu[31]       20.3  9.9e-3   0.44   19.4  20.02   20.3  20.58  21.18   2000    1.0
mu[32]      20.93  9.7e-3   0.44  20.07  20.66  20.94  21.23  21.74   2000    1.0
mu[33]      21.77    0.01   0.46  20.89  21.48  21.74  22.03  22.76   1392    1.0
mu[34]      21.62  9.5e-3   0.42  20.76  21.36  21.63   21.9  22.47   2000    1.0
mu[35]       21.8  9.5e-3   0.43  20.95  21.53   21.8  22.06  22.68   2000    1.0
mu[36]      22.16  9.9e-3   0.44   21.3  21.88  22.16  22.44  23.06   2000    1.0
mu[37]      22.68    0.01   0.44  21.83  22.39  22.67  22.93  23.56   1307    1.0
mu[38]      23.16  9.7e-3   0.44   22.3  22.88  23.16  23.44  24.02   2000    1.0
mu[39]      23.38  9.9e-3   0.44  22.51  23.09  23.37  23.66  24.29   2000    1.0
mu[40]      23.92  9.8e-3   0.44  23.05  23.64  23.92  24.21  24.77   2000    1.0
mu[41]      24.22    0.01   0.45  23.31  23.93  24.23  24.51   25.1   1794    1.0
mu[42]       24.6    0.01   0.47  23.65  24.29  24.61  24.91  25.52   1525    1.0
mu[43]      25.04    0.02   0.64  23.72  24.64  25.05  25.48   26.3   1511    1.0
season[0]   -0.31    0.01   0.62   -1.5   -0.7  -0.32    0.1    0.9   1721    1.0
season[1]     5.1    0.01    0.5   4.04   4.79    5.1   5.42   6.05   1794    1.0
season[2]   -2.41    0.04   0.56  -3.64  -2.74  -2.37  -2.03  -1.39    225   1.03
season[3]   -2.44    0.03   0.51  -3.39  -2.79  -2.46  -2.11  -1.41    350   1.02
season[4]   -0.08    0.01   0.45  -0.93  -0.38  -0.08    0.2   0.83   2000    1.0
season[5]    5.39    0.01   0.45   4.44    5.1    5.4   5.69   6.27   1431    1.0
season[6]   -3.75    0.01   0.46   -4.6  -4.07  -3.77  -3.45  -2.79   1075   1.01
season[7]    -1.3    0.02   0.47   -2.3  -1.58  -1.27  -0.99  -0.44    496   1.02
season[8]   -0.01    0.01   0.44  -0.87  -0.29  -0.01   0.26   0.88   1584    1.0
season[9]    4.96    0.03   0.48   4.11   4.62   4.94   5.27   5.98    329   1.02
season[10]  -3.77  9.7e-3   0.43  -4.64  -4.06  -3.77  -3.49  -2.93   2000    1.0
season[11]  -1.11    0.02   0.44  -2.02  -1.39   -1.1  -0.81   -0.3    571   1.01
season[12]   -0.2    0.01   0.42  -0.98  -0.47  -0.21   0.06   0.63   1728    1.0
season[13]   5.35    0.01   0.44   4.45   5.06   5.34   5.63   6.29   1032   1.01
season[14]  -4.27    0.01   0.43  -5.09  -4.56  -4.28  -3.98  -3.41   1050    1.0
season[15]  -0.93    0.03   0.46  -1.93  -1.22   -0.9  -0.61  -0.11    341   1.02
season[16]   -0.3  9.3e-3   0.41  -1.13  -0.57   -0.3  -0.02   0.52   2000    1.0
season[17]   5.98  9.7e-3   0.43   5.12   5.69   5.98   6.27   6.83   2000    1.0
season[18]  -4.76    0.04   0.55  -5.77  -5.14  -4.81  -4.39   -3.6    159   1.03
season[19]  -1.33    0.02   0.46  -2.26  -1.62  -1.31  -1.04  -0.44    672   1.01
season[20]   0.24    0.02   0.44  -0.68  -0.04   0.25   0.55   1.04    453   1.02
season[21]   5.44    0.02   0.43   4.66   5.14   5.42   5.71   6.32    455   1.02
season[22]  -3.54  9.4e-3   0.42  -4.41  -3.82  -3.54  -3.26  -2.73   2000    1.0
season[23]  -2.37    0.01   0.42  -3.18  -2.64  -2.38  -2.09  -1.48   1328    1.0
season[24]    0.2  9.8e-3   0.44  -0.66   -0.1    0.2    0.5   1.04   2000   1.01
season[25]   5.49    0.04   0.49   4.54   5.16   5.46   5.82   6.52    170   1.03
season[26]  -2.82    0.05   0.52   -3.9  -3.14  -2.78  -2.44   -1.9     99   1.04
season[27]  -2.81    0.02   0.44  -3.67  -3.09  -2.83  -2.54   -1.9    567   1.01
season[28]   -0.6    0.01   0.43  -1.41  -0.88   -0.6  -0.32   0.31   1534    1.0
season[29]   6.91    0.01   0.45   5.96   6.64    6.9   7.19   7.76   1577    1.0
season[30]  -3.58    0.01   0.42  -4.43  -3.86  -3.58  -3.29  -2.76   1641    1.0
season[31]  -2.76    0.01   0.42  -3.56  -3.04  -2.78  -2.48  -1.93   1225    1.0
season[32]  -1.17    0.02   0.46  -2.05  -1.47  -1.17  -0.88  -0.22    467   1.01
season[33]   8.13    0.05   0.56   6.86    7.8   8.19   8.52   9.08    131   1.04
season[34]  -4.23    0.01   0.42  -5.06  -4.51  -4.23  -3.96  -3.36   1212   1.01
season[35]  -2.83    0.02   0.43  -3.68  -3.11  -2.84  -2.56  -1.98    653   1.01
season[36]  -0.99    0.01   0.45  -1.86  -1.28  -0.98  -0.72  -0.06   1558    1.0
season[37]   7.88    0.02   0.47   6.82   7.61    7.9    8.2   8.78    435   1.01
season[38]  -4.04    0.01   0.43  -4.89  -4.32  -4.03  -3.76  -3.16   1534    1.0
season[39]  -2.93    0.02   0.48   -3.9  -3.23  -2.94  -2.64  -1.96    483   1.01
season[40]  -0.72    0.01   0.47  -1.71  -1.02  -0.72   -0.4   0.22   1698    1.0
season[41]   7.67    0.01    0.5   6.67   7.35   7.68   7.99   8.64   1138    1.0
season[42]  -4.32    0.02   0.48  -5.32  -4.62  -4.33  -4.02  -3.34   1001   1.01
season[43]  -2.34    0.02   0.61  -3.55  -2.75  -2.33  -1.92  -1.17   1498    1.0
s_mu         0.75  6.0e-3   0.15    0.5   0.64   0.73   0.83    1.1    648   1.01
s_season     0.59    0.01   0.15    0.3   0.49   0.59   0.68   0.89    108   1.04
s_Y           0.4    0.05   0.25   0.07   0.19   0.35   0.57   0.94     28   1.16
y_mean[0]    18.1  9.6e-3   0.43  17.27   17.9  18.08  18.29  19.07   2000    1.0
y_mean[1]   23.62  9.2e-3   0.41  22.65  23.43  23.64  23.81  24.43   2000    1.0
y_mean[2]   16.09    0.05   0.53  14.72  15.84  16.25  16.42  16.83    105   1.04
y_mean[3]   15.12    0.03   0.44  14.39  14.87  15.03  15.31  16.21    310   1.02
y_mean[4]    17.1  9.0e-3    0.4  16.23  16.92  17.11  17.28  17.95   2000    1.0
y_mean[5]   22.17  8.9e-3    0.4  21.27  21.99  22.19  22.35  23.04   2000    1.0
y_mean[6]   12.43    0.03   0.43  11.73  12.19  12.33  12.63  13.44    266   1.02
y_mean[7]   14.96    0.02   0.45  13.84  14.76  15.04   15.2   15.7    464   1.02
y_mean[8]   15.76  9.3e-3   0.41  14.78  15.58   15.8  15.96  16.61   2000    1.0
y_mean[9]   20.09    0.02   0.44  19.33  19.84   20.0  20.29  21.16    316   1.01
y_mean[10]  11.28  9.4e-3   0.42  10.39  11.08  11.27  11.47  12.18   2000    1.0
y_mean[11]  13.81  9.0e-3    0.4  12.86  13.65  13.83   14.0  14.63   2000    1.0
y_mean[12]   14.6  9.4e-3   0.42  13.77  14.39  14.56  14.78   15.6   2000    1.0
y_mean[13]  20.19  9.2e-3   0.41  19.41  19.98  20.14  20.38  21.17   2000   1.01
y_mean[14]  10.89  9.2e-3   0.41  10.05  10.68  10.88  11.06  11.88   2000    1.0
y_mean[15]  14.54    0.03   0.44  13.44  14.35  14.65   14.8  15.25    273   1.02
y_mean[16]  15.03  8.8e-3   0.39  14.15  14.85  15.01  15.21  15.87   2000    1.0
y_mean[17]  21.29  8.9e-3    0.4  20.36  21.09  21.34   21.5  22.09   2000    1.0
